Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached
biosppnw01.txt;83.00957433373219;0;0;421;7;83.802899443;7;0;0
biosppnw03.txt;57.64261170052075;0;0;47;6;53.536380268;10;0;0
biosppnw04.txt;58.32584550717493;16;8;26;4;90.914243267;9;0;0
biosppnw05.txt;21.992635007933373;0;0;73;6;170.746355234;9;0;0
biosppnw06.txt;56.22981618527113;1;1;20;5;4.91805986;9;0;0
biosppnw07.txt;55.14524089579014;1;1;20;5;2.384365853;8;0;0
biosppnw08.txt;93.44466679014278;0;0;20;6;0.167836804;6;0;0
biosppnw09.txt;85.50233254283502;0;0;22;6;1.284626317;8;0;0
biosppnw10.txt;97.75909591692674;0;0;13;7;0.37037459;8;0;0
biosppnw11.txt;98.78035097763707;3;3;28;7;4.141294699;10;0;0
biosppnw12.txt;86.28535590665616;0;0;43;6;0.240663212;7;0;0
biosppnw13.txt;82.90349638002425;19;18;125;6;11.453937228;8;0;1
biosppnw14.txt;83.89354309234989;1;1;103;7;104.724456983;9;0;0
biosppnw15.txt;100.0;0;0;2;3;0.252017045;9;0;0
biosppnw16.txt;1.1281603950428456;0;0;7;2;114.362554246;4;0;0
biosppnw17.txt;68.59262307844561;9;4;58;4;143.406246103;7;2;0
biosppnw18.txt;47.740893741259896;23;19;23;2;22.297522465;9;0;1
biosppnw19.txt;78.92084703420913;2;2;20;5;1.526524267;8;0;0
biosppnw20.txt;83.89216627983805;0;0;9;4;0.326548263;9;0;0
biosppnw21.txt;92.95346244378536;0;0;10;4;0.294243143;9;0;0
biosppnw22.txt;83.81739567727308;0;0;19;5;0.280632646;8;0;0
biosppnw23.txt;91.43357601033692;10;4;6;2;0.625794543;10;0;0
biosppnw24.txt;68.67275336466082;0;0;21;4;0.635865964;9;0;0
biosppnw25.txt;81.77635721403352;2;1;17;5;0.591747962;9;0;0
biosppnw26.txt;61.53987746135857;0;0;19;4;0.503521815;9;0;0
biosppnw27.txt;94.74130410186496;1;1;12;3;0.617265874;9;0;0
biosppnw28.txt;75.86771847955004;1;1;6;2;0.531735538;9;0;0
biosppnw29.txt;67.24379915449825;1;1;12;4;1.174901746;8;0;0
biosppnw30.txt;79.32333252998143;0;0;8;3;1.067664465;8;0;0
biosppnw31.txt;64.06971715917999;2;1;16;3;1.360877771;9;0;0
biosppnw32.txt;96.99405934029014;0;0;8;3;0.146922583;8;0;0
biosppnw33.txt;75.6415789902572;3;3;10;5;1.442133392;9;0;0
biosppnw34.txt;65.01339919015032;0;0;14;3;0.420842929;9;0;0
biosppnw35.txt;87.30159461359095;0;0;14;6;0.721023296;9;0;0
biosppnw36.txt;86.13599217705293;15;7;10;2;1.481995325;10;0;0
biosppnw37.txt;79.48552581566017;0;0;10;4;0.265612314;8;0;0
biosppnw38.txt;91.893921205815;0;0;8;4;0.637833909;10;0;0
biosppnw39.txt;61.0932636635715;0;0;12;4;0.348876543;9;0;0
biosppnw40.txt;93.68447979557624;1;1;10;2;0.283893442;10;0;0
biosppnw41.txt;83.74833372317015;2;2;11;3;0.131542442;8;0;0
biosppnw42.txt;93.58444785952905;1;1;10;2;0.523900253;9;0;0
biosppnw43.txt;59.96699324573104;5;4;21;5;0.698103103;10;0;0
