Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time
biosppnw01.txt;82.57537584591373;3;10;421;8;62.618538472
biosppnw03.txt;70.60273573027739;2;7;47;7;29.502149036
biosppnw04.txt;37.976870036774514;25;21;26;3;90.335353554
biosppnw05.txt;24.63103970706404;5;6;73;5;131.830984409
biosppnw06.txt;69.06806061216801;13;14;20;4;3.994449854
biosppnw07.txt;72.73793384309461;9;7;20;6;1.70632717
biosppnw08.txt;81.6566445592552;0;1;20;4;0.054178609
biosppnw09.txt;83.67715823812325;1;3;22;3;0.558969669
biosppnw10.txt;99.22427263684244;0;1;13;7;0.123201905
biosppnw11.txt;98.57367364031275;1;2;28;6;1.664345254
biosppnw12.txt;83.9863050440069;0;1;43;5;0.081331589
biosppnw13.txt;56.00548648268781;83;21;125;4;13.774036282
biosppnw14.txt;85.65958243121358;2;8;103;7;55.182562851
biosppnw15.txt;100.0;0;1;2;3;0.094421673
biosppnw16.txt;1.1281603950428456;0;1;7;2;72.026931227
biosppnw17.txt;70.88978190007037;4;13;58;7;96.762169417
biosppnw18.txt;62.86995407212197;83;21;23;2;22.421317745
biosppnw19.txt;88.20481389450539;2;8;20;4;0.696323884
biosppnw20.txt;83.82664421528386;9;5;9;3;0.176095449
biosppnw21.txt;92.95346244378536;0;2;10;4;0.098651725
biosppnw22.txt;82.69409760474427;4;4;19;5;0.127632955
biosppnw23.txt;92.36200797931052;22;21;6;2;0.293730836
biosppnw24.txt;79.0388001522437;19;21;21;5;0.47977064
biosppnw25.txt;85.94479892052729;5;7;17;4;0.270214196
biosppnw26.txt;86.33110375423846;24;21;19;4;0.292609209
biosppnw27.txt;91.15172302511033;5;8;12;2;0.318129805
biosppnw28.txt;75.86771847955004;4;5;6;2;0.214079985
biosppnw29.txt;60.78336085787605;20;21;12;3;0.679100439
biosppnw30.txt;81.14925944972045;8;8;8;2;0.772830041
biosppnw31.txt;77.50743426370408;1;5;16;4;0.602274259
biosppnw32.txt;98.78770337489568;1;2;8;5;0.047903858
biosppnw33.txt;92.79505974164252;6;12;10;4;0.774058764
biosppnw34.txt;74.97951541932991;3;6;14;3;0.16600225
biosppnw35.txt;81.70551150324322;22;14;14;3;0.579317931
biosppnw36.txt;87.33863593430785;11;10;10;3;0.501174475
biosppnw37.txt;88.09822097211102;0;1;10;3;0.091464892
biosppnw38.txt;47.608704288261755;12;14;8;3;0.43389181
biosppnw39.txt;65.90205881077553;10;6;12;7;0.20255305
biosppnw40.txt;97.44818585347748;9;8;10;5;0.122698516
biosppnw41.txt;85.28980313723068;1;3;11;4;0.031708406
biosppnw42.txt;95.7031353831583;7;14;10;3;0.312871148
biosppnw43.txt;79.166636512726;22;17;21;4;0.430442568
