Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached
biosppnw01.txt;81.80821191440198;0;0;421;8;68.834630749;7;0;0
biosppnw03.txt;57.67436203567986;37;15;47;4;98.408539259;9;0;1
biosppnw04.txt;17.437013854221064;25;12;26;3;112.056181654;7;2;0
biosppnw05.txt;19.545586042707196;7;2;73;5;175.286568882;7;2;0
biosppnw06.txt;49.89742424930465;14;4;20;4;7.01627834;9;0;0
biosppnw07.txt;63.287995130178786;8;6;20;6;3.993771251;8;0;0
biosppnw08.txt;93.44466679014278;0;0;20;6;0.148484584;6;0;0
biosppnw09.txt;89.535887723329;2;2;22;5;1.439904896;8;0;0
biosppnw10.txt;99.22427263684244;0;0;13;7;0.262124336;8;0;0
biosppnw11.txt;97.75602193986448;9;7;28;6;4.221571428;10;0;0
biosppnw12.txt;86.28206734485609;2;1;43;7;0.227157607;7;0;0
biosppnw13.txt;84.21879575566706;14;6;125;7;9.344281062;9;0;0
biosppnw14.txt;82.38986729168349;2;1;103;8;87.054424459;9;0;0
biosppnw15.txt;100.0;0;0;2;3;0.18882203;9;0;0
biosppnw16.txt;1.1281603950428456;0;0;7;2;94.96080946;4;0;0
biosppnw17.txt;40.51835515996588;5;1;58;3;167.418339212;5;4;0
biosppnw18.txt;12.05640729591044;54;18;23;3;31.552981748;7;0;3
biosppnw19.txt;78.47962047754;5;2;20;6;1.959063736;8;0;0
biosppnw20.txt;83.52567189666753;7;3;9;2;0.425257577;9;0;0
biosppnw21.txt;92.95346244378536;0;0;10;4;0.221455673;9;0;0
biosppnw22.txt;66.63655462056641;10;4;19;4;0.599301867;8;0;0
biosppnw23.txt;91.43357601033692;11;3;6;4;0.579594873;10;0;0
biosppnw24.txt;68.29256183019665;6;3;21;4;0.909871751;9;0;0
biosppnw25.txt;72.82558334649349;4;1;17;5;0.731376808;9;0;0
biosppnw26.txt;35.03564290336557;23;14;19;5;0.871489897;9;0;0
biosppnw27.txt;91.15318907891377;6;4;12;3;0.65446063;9;0;0
biosppnw28.txt;75.86771847955004;11;4;6;2;0.85597964;9;0;0
biosppnw29.txt;65.4791645514856;3;1;12;2;1.479280799;8;0;0
biosppnw30.txt;79.32191497099048;10;5;8;2;1.954229515;8;0;0
biosppnw31.txt;66.26885473867041;8;6;16;4;2.175699955;9;0;0
biosppnw32.txt;97.59257593226354;5;2;8;5;0.214921046;8;0;0
biosppnw33.txt;75.6415789902572;8;3;10;5;1.990531322;9;0;0
biosppnw34.txt;50.188390460574674;15;4;14;2;0.919982407;9;0;0
biosppnw35.txt;81.70551150324322;15;6;14;4;1.086587871;9;0;0
biosppnw36.txt;0.0;16;7;10;1;1.56364118;10;0;0
biosppnw37.txt;79.48552581566017;1;1;10;3;0.226594218;8;0;0
biosppnw38.txt;44.22997062989897;19;4;8;4;1.305485569;10;0;0
biosppnw39.txt;61.0932636635715;6;3;12;5;0.417040383;9;0;0
biosppnw40.txt;58.344048762807574;3;2;10;3;0.323843081;10;0;0
biosppnw41.txt;83.74833372317015;2;2;11;3;0.111884162;8;0;0
biosppnw42.txt;0.0;4;3;10;1;0.668657178;9;0;0
biosppnw43.txt;69.15451181494211;4;1;21;5;0.695468422;10;0;0
