Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time
biosppnw01.txt;80.47266442017519;1;5;421;8;49.911884162
biosppnw03.txt;67.98275010717946;5;21;47;5;39.282673702
biosppnw04.txt;0.0;28;21;26;1;112.54243834
biosppnw05.txt;24.63103970706404;4;6;73;5;136.434671898
biosppnw06.txt;56.75053853670898;9;15;20;2;4.845018669
biosppnw07.txt;77.88781737079512;5;9;20;6;1.889976229
biosppnw08.txt;81.6566445592552;0;1;20;4;0.065943469
biosppnw09.txt;83.67715823812325;1;5;22;3;0.673121483
biosppnw10.txt;99.22427263684244;0;1;13;7;0.142466455
biosppnw11.txt;98.57367364031275;1;2;28;6;1.723084011
biosppnw12.txt;83.9863050440069;0;1;43;5;0.092184369
biosppnw13.txt;51.627550449511695;9;14;125;5;6.466886563
biosppnw14.txt;84.84050432358647;3;7;103;6;57.526175851
biosppnw15.txt;100.0;0;1;2;3;0.112693697
biosppnw16.txt;1.1281603950428456;0;1;7;2;74.450578004
biosppnw17.txt;56.72393973259896;10;13;58;4;136.21217978
biosppnw18.txt;0.0;38;21;23;1;20.590467375
biosppnw19.txt;88.20481389450539;1;6;20;4;0.696296885
biosppnw20.txt;61.80353426259533;8;10;9;2;0.233292474
biosppnw21.txt;92.95346244378536;0;2;10;4;0.112202608
biosppnw22.txt;82.52584154122185;9;11;19;3;0.200508907
biosppnw23.txt;92.36200797931052;12;11;6;2;0.328415689
biosppnw24.txt;61.13744785725233;4;5;21;2;0.314853366
biosppnw25.txt;81.15643294063591;2;5;17;3;0.253586618
biosppnw26.txt;59.739136963926434;16;11;19;3;0.323619563
biosppnw27.txt;91.15172302511033;3;6;12;2;0.305852065
biosppnw28.txt;75.87923750999673;3;4;6;3;0.306036006
biosppnw29.txt;53.3612276453574;8;21;12;4;0.964612857
biosppnw30.txt;81.14925944972045;10;17;8;2;1.11466365
biosppnw31.txt;76.48615778234215;1;5;16;4;0.637201821
biosppnw32.txt;97.5923395386242;1;2;8;4;0.059725892
biosppnw33.txt;92.79505974164252;4;9;10;4;0.801527766
biosppnw34.txt;74.97951541932991;1;5;14;3;0.201773841
biosppnw35.txt;83.59535758979871;13;13;14;4;0.616349319
biosppnw36.txt;87.33863593430785;20;21;10;3;0.79295286
biosppnw37.txt;88.09822097211102;0;1;10;3;0.11604716
biosppnw38.txt;47.608704288261755;9;14;8;4;0.451736002
biosppnw39.txt;65.90205881077553;6;8;12;5;0.229714375
biosppnw40.txt;95.70367314135493;3;4;10;3;0.143139675
biosppnw41.txt;83.74833372317015;1;4;11;3;0.081363816
biosppnw42.txt;93.76819145463249;3;5;10;2;0.244820666
biosppnw43.txt;70.2656041539074;7;12;21;4;0.414191929
