Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time
biosppnw01.txt;80.5339766426733;3;5;421;6;117.862425352
biosppnw03.txt;71.29688361200473;3;8;47;6;55.754409846
biosppnw04.txt;40.437294137803065;11;13;26;2;122.67239443
biosppnw05.txt;22.12300397197258;4;4;73;3;238.581167895
biosppnw06.txt;67.89113338705866;10;7;20;4;7.605424287
biosppnw07.txt;76.29507064018514;18;15;20;5;6.262445859
biosppnw08.txt;92.43610523663862;0;2;20;5;0.168150465
biosppnw09.txt;83.8358248992865;4;9;22;4;1.971385594
biosppnw10.txt;97.59999663342664;36;21;13;6;1.140839081
biosppnw11.txt;98.59654483288773;20;21;28;7;6.944489393
biosppnw12.txt;91.18182970948607;2;4;43;6;0.297826405
biosppnw13.txt;50.06833354516428;84;21;125;3;35.271854789
biosppnw14.txt;84.8900645066202;4;5;103;6;102.03838312
biosppnw15.txt;100.0;53;21;2;3;1.960836305
biosppnw16.txt;1.1281603950428456;3;3;7;2;163.946409175
biosppnw17.txt;57.93422034378241;8;8;58;3;188.27689794
biosppnw18.txt;65.71501982622232;33;21;23;2;61.374313185
biosppnw19.txt;88.41061778424366;5;10;20;5;2.085264035
biosppnw20.txt;73.5217200368418;77;21;9;3;2.266917532
biosppnw21.txt;92.95346244378536;10;15;10;4;0.561606357
biosppnw22.txt;82.52584154122185;22;21;19;4;0.822616419
biosppnw23.txt;91.42935622022459;68;21;6;2;2.388590147
biosppnw24.txt;71.49746400483042;9;12;21;5;1.073682422
biosppnw25.txt;82.64459328347792;7;10;17;4;1.11359529
biosppnw26.txt;67.1552627090971;47;21;19;4;1.698191499
biosppnw27.txt;91.15172302511033;75;21;12;2;3.264756963
biosppnw28.txt;92.40311215502055;39;21;6;3;2.444514976
biosppnw29.txt;65.0361289881673;30;20;12;6;2.907029394
biosppnw30.txt;84.12366801072488;13;20;8;3;2.832171974
biosppnw31.txt;60.687423133168494;19;21;16;4;3.204579169
biosppnw32.txt;98.78770337489568;49;21;8;5;0.705568465
biosppnw33.txt;75.6145929574683;55;21;10;4;6.026990563
biosppnw34.txt;63.952303413163904;51;21;14;3;2.034051622
biosppnw35.txt;83.53649769548913;31;21;14;3;2.614743762
biosppnw36.txt;87.33229055430294;38;21;10;2;3.675714696
biosppnw37.txt;88.09822097211102;2;6;10;3;0.400879147
biosppnw38.txt;47.608704288261755;68;21;8;3;3.962794171
biosppnw39.txt;56.498455353320885;47;21;12;4;1.770300023
biosppnw40.txt;71.83491362081188;24;21;10;3;0.835197486
biosppnw41.txt;83.74833372317015;2;5;11;3;0.119771431
biosppnw42.txt;93.76819145463249;26;21;10;2;2.234614983
biosppnw43.txt;56.33159926254345;33;21;21;3;1.840857634
