Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time
biosppnw01.txt;82.57537584591373;3;10;421;8;63.455900617
biosppnw03.txt;70.60273573027739;2;7;47;7;30.059195876
biosppnw04.txt;46.048689371319384;23;21;26;5;89.87647512
biosppnw05.txt;24.63103970706404;4;6;73;5;130.259834346
biosppnw06.txt;69.06806061216801;14;11;20;4;3.71470452
biosppnw07.txt;75.40187516467446;7;7;20;6;1.695686199
biosppnw08.txt;81.6566445592552;0;1;20;4;0.056431293
biosppnw09.txt;83.8358248992865;1;3;22;4;0.584194136
biosppnw10.txt;99.22427263684244;0;1;13;7;0.122600882
biosppnw11.txt;98.59654483288773;1;2;28;7;1.658940556
biosppnw12.txt;83.9863050440069;0;1;43;5;0.080184155
biosppnw13.txt;55.97345971165184;83;21;125;4;13.660855795
biosppnw14.txt;85.65958243121358;6;12;103;7;61.978852261
biosppnw15.txt;100.0;0;1;2;3;0.090734627
biosppnw16.txt;1.1281603950428456;0;1;7;2;71.5907782
biosppnw17.txt;71.53635162686463;2;13;58;5;97.055623162
biosppnw18.txt;0.0;78;21;23;1;22.570992563
biosppnw19.txt;88.20481389450539;2;8;20;4;0.700674522
biosppnw20.txt;83.82664421528386;9;5;9;3;0.216272308
biosppnw21.txt;92.95346244378536;0;2;10;4;0.094973793
biosppnw22.txt;82.53295481053745;5;5;19;4;0.132149169
biosppnw23.txt;92.36200797931052;22;21;6;2;0.259573888
biosppnw24.txt;84.75717439996977;7;11;21;4;0.393272758
biosppnw25.txt;82.79720784228812;4;6;17;4;0.226893407
biosppnw26.txt;70.24608767444067;15;12;19;5;0.300555663
biosppnw27.txt;96.0372007196602;6;8;12;3;0.281909804
biosppnw28.txt;75.86771847955004;4;9;6;2;0.253348751
biosppnw29.txt;53.3612276453574;21;21;12;2;0.851779169
biosppnw30.txt;81.1506770087114;18;11;8;3;0.904306042
biosppnw31.txt;77.50743426370408;1;5;16;4;0.591149931
biosppnw32.txt;98.78770337489568;5;6;8;5;0.057101091
biosppnw33.txt;92.79505974164252;4;6;10;4;0.666682743
biosppnw34.txt;74.97951541932991;1;3;14;3;0.145357441
biosppnw35.txt;82.0383707640594;36;19;14;4;0.822519139
biosppnw36.txt;87.33863593430785;11;10;10;3;0.513657251
biosppnw37.txt;88.09822097211102;0;1;10;3;0.095261856
biosppnw38.txt;87.16006199230598;18;20;8;3;0.556434599
biosppnw39.txt;63.46837678757426;7;7;12;5;0.201577885
biosppnw40.txt;95.70367314135493;7;9;10;3;0.119278267
biosppnw41.txt;83.74833372317015;2;4;11;3;0.033996191
biosppnw42.txt;95.7031353831583;6;7;10;3;0.260286669
biosppnw43.txt;72.28527213094983;18;14;21;3;0.477378405
