Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time
biosppnw01.txt;81.20614503645538;2;7;421;6;128.120485026
biosppnw03.txt;71.29688361200473;1;8;47;6;54.560438703
biosppnw04.txt;41.20131469019799;18;13;26;3;139.905115252
biosppnw05.txt;22.12300397197258;5;4;73;3;237.16677177
biosppnw06.txt;67.80808820238404;14;11;20;3;8.107327725
biosppnw07.txt;77.27461472626165;25;21;20;6;6.973069537
biosppnw08.txt;92.43610523663862;0;2;20;5;0.17127213
biosppnw09.txt;83.80666205491296;2;6;22;4;1.802170367
biosppnw10.txt;97.59999663342664;36;21;13;6;1.14888905
biosppnw11.txt;98.57367364031275;19;21;28;6;6.396671164
biosppnw12.txt;91.18182970948607;5;7;43;6;0.354029275
biosppnw13.txt;62.993843004855;96;21;125;3;38.588135795
biosppnw14.txt;84.8900645066202;2;6;103;6;94.011821232
biosppnw15.txt;100.0;54;21;2;3;1.727869784
biosppnw16.txt;1.1281603950428456;3;4;7;2;143.17109648
biosppnw17.txt;60.21433709460232;4;7;58;4;181.36604743
biosppnw18.txt;69.98791850606166;21;21;23;3;40.287295684
biosppnw19.txt;88.41061778424366;1;6;20;5;1.720803306
biosppnw20.txt;77.8434577484472;31;21;9;3;1.718061529
biosppnw21.txt;92.95346244378536;13;14;10;4;0.574896024
biosppnw22.txt;82.52584154122185;8;15;19;4;0.630948671
biosppnw23.txt;91.43326343329157;55;21;6;2;2.13480932
biosppnw24.txt;71.4559019292502;11;13;21;4;1.409693706
biosppnw25.txt;82.2973336698321;12;10;17;4;1.270951774
biosppnw26.txt;73.20938610064648;48;21;19;4;1.733972275
biosppnw27.txt;91.15172302511033;61;21;12;2;3.048473587
biosppnw28.txt;75.86771847955004;49;21;6;2;2.629786057
biosppnw29.txt;64.15314511958178;33;21;12;4;3.546577031
biosppnw30.txt;81.14925944972045;19;19;8;2;3.360885301
biosppnw31.txt;60.687423133168494;14;21;16;4;2.895644509
biosppnw32.txt;98.78770337489568;42;21;8;5;0.691526364
biosppnw33.txt;73.30580666559057;44;21;10;3;5.199319659
biosppnw34.txt;63.952303413163904;45;21;14;3;2.517373822
biosppnw35.txt;86.46523549104322;36;20;14;5;2.818174961
biosppnw36.txt;87.33229055430294;34;21;10;2;3.513152907
biosppnw37.txt;88.09822097211102;1;5;10;3;0.346722394
biosppnw38.txt;47.608704288261755;58;21;8;3;4.112184876
biosppnw39.txt;85.64054045654974;30;21;12;5;1.44787416
biosppnw40.txt;95.9895353235658;17;15;10;3;0.655973036
biosppnw41.txt;83.74833372317015;2;9;11;3;0.230289905
biosppnw42.txt;93.76819145463249;36;21;10;2;2.480065253
biosppnw43.txt;78.82042259811037;16;13;21;5;1.703616202
