Instance;Total_number_of_nd_points
biosppnw01.txt;421
biosppnw03.txt;47
biosppnw04.txt;26
biosppnw06.txt;20
biosppnw07.txt;20
biosppnw08.txt;20
biosppnw09.txt;22
biosppnw10.txt;13
biosppnw11.txt;28
biosppnw12.txt;43
biosppnw13.txt;125
biosppnw14.txt;103
biosppnw15.txt;2
biosppnw16.txt;7
biosppnw17.txt;58
biosppnw18.txt;23
biosppnw19.txt;20
biosppnw20.txt;9
biosppnw21.txt;10
biosppnw22.txt;19
biosppnw23.txt;6
biosppnw24.txt;21
biosppnw25.txt;17
biosppnw26.txt;19
biosppnw27.txt;12
biosppnw28.txt;6
biosppnw29.txt;12
biosppnw30.txt;8
biosppnw31.txt;16
biosppnw32.txt;8
biosppnw33.txt;10
biosppnw34.txt;14
biosppnw35.txt;14
biosppnw36.txt;10
biosppnw37.txt;10
biosppnw38.txt;8
biosppnw39.txt;12
biosppnw40.txt;10
biosppnw41.txt;11
biosppnw42.txt;10
biosppnw43.txt;21
