Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached
biosppnw01.txt;83.00957433373219;0;0;421;7;62.547064882;7;0;0
biosppnw03.txt;56.16799957555928;0;0;47;5;41.62319172;10;0;0
biosppnw04.txt;60.710522485896355;0;0;26;4;49.621435741;9;0;0
biosppnw05.txt;21.992635007933373;0;0;73;6;122.242228259;9;0;0
biosppnw06.txt;56.22981618527113;0;0;20;5;3.394990311;9;0;0
biosppnw07.txt;55.14524089579014;0;0;20;5;1.515647011;8;0;0
biosppnw08.txt;93.44466679014278;0;0;20;6;0.116241683;6;0;0
biosppnw09.txt;85.50233254283502;0;0;22;6;0.766051032;8;0;0
biosppnw10.txt;97.75909591692674;0;0;13;7;0.208232228;8;0;0
biosppnw11.txt;98.78035097763707;0;0;28;7;2.444698689;10;0;0
biosppnw12.txt;86.28535590665616;0;0;43;6;0.121255912;7;0;0
biosppnw13.txt;84.09277552934782;0;0;125;7;5.642093472;9;0;0
biosppnw14.txt;82.59903258029357;0;0;103;7;72.536795421;9;0;0
biosppnw15.txt;100.0;0;0;2;3;0.136997541;9;0;0
biosppnw16.txt;1.1281603950428456;0;0;7;2;81.446921598;4;0;0
biosppnw17.txt;68.59262307844561;0;0;58;4;111.793965812;9;0;0
biosppnw18.txt;47.740893741259896;1;1;23;2;12.552223995;10;0;0
biosppnw19.txt;78.92084703420913;0;0;20;5;0.824345533;8;0;0
biosppnw20.txt;83.89216627983805;0;0;9;4;0.213663138;9;0;0
biosppnw21.txt;92.95346244378536;0;0;10;4;0.135588393;9;0;0
biosppnw22.txt;83.81739567727308;0;0;19;5;0.143357999;8;0;0
biosppnw23.txt;92.36200797931052;0;0;6;3;0.23110751;10;0;0
biosppnw24.txt;68.67275336466082;0;0;21;4;0.387861147;9;0;0
biosppnw25.txt;82.05215703773212;0;0;17;7;0.293288804;9;0;0
biosppnw26.txt;61.53987746135857;1;1;19;5;0.265997957;9;0;0
biosppnw27.txt;94.74130410186496;0;0;12;3;0.342966243;9;0;0
biosppnw28.txt;75.86771847955004;0;0;6;2;0.269629091;9;0;0
biosppnw29.txt;54.48761374528676;0;0;12;4;0.65928321;8;0;0
biosppnw30.txt;79.32333252998143;0;0;8;3;0.704617944;8;0;0
biosppnw31.txt;72.7571707562817;0;0;16;4;0.79242607;9;0;0
biosppnw32.txt;96.99405934029014;0;0;8;3;0.072207723;8;0;0
biosppnw33.txt;75.6415789902572;0;0;10;5;0.775081895;9;0;0
biosppnw34.txt;65.01339919015032;0;0;14;3;0.215920036;9;0;0
biosppnw35.txt;87.30159461359095;0;0;14;6;0.41798679;9;0;0
biosppnw36.txt;86.13599217705293;0;0;10;2;0.576890065;10;0;0
biosppnw37.txt;79.48552581566017;0;0;10;4;0.180806523;8;0;0
biosppnw38.txt;91.893921205815;0;0;8;4;0.282780722;10;0;0
biosppnw39.txt;61.0932636635715;0;0;12;4;0.168682149;9;0;0
biosppnw40.txt;93.68447979557624;0;0;10;2;0.136609109;10;0;0
biosppnw41.txt;83.74833372317015;0;0;11;3;0.054136389;8;0;0
biosppnw42.txt;93.58444785952905;1;1;10;2;0.335915935;9;0;0
biosppnw43.txt;61.36126085968817;0;0;21;6;0.291153543;10;0;0
