Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached
biosppnw01.txt;79.77971852479206;2;1;421;7;78.661240217;7;0;0
biosppnw03.txt;62.09590295645921;6;4;47;5;39.478410377;10;0;0
biosppnw04.txt;75.18534057622419;29;17;26;2;83.252569609;7;0;2
biosppnw05.txt;24.96951495760314;0;0;73;4;137.120656316;9;0;0
biosppnw06.txt;73.03903769564617;1;1;20;3;2.888993688;9;0;0
biosppnw07.txt;75.69267677235753;1;1;20;5;1.516150169;8;0;0
biosppnw08.txt;93.44466679014278;0;0;20;6;0.103958897;6;0;0
biosppnw09.txt;88.88016946271017;1;1;22;6;0.8887475;8;0;0
biosppnw10.txt;99.22427263684244;0;0;13;7;0.187362537;8;0;0
biosppnw11.txt;97.53731369865648;3;3;28;7;2.762110192;10;0;0
biosppnw12.txt;86.28206734485609;0;0;43;6;0.134576673;7;0;0
biosppnw13.txt;81.0164633681034;0;0;125;7;4.701428334;9;0;0
biosppnw14.txt;81.25554563294244;2;2;103;7;77.804266438;9;0;0
biosppnw15.txt;100.0;0;0;2;3;0.137243551;9;0;0
biosppnw16.txt;1.1281603950428456;0;0;7;2;90.291284625;4;0;0
biosppnw17.txt;77.48987762550304;2;2;58;6;92.942895279;9;0;0
biosppnw18.txt;42.79453223022456;29;19;23;2;16.29279186;9;0;1
biosppnw19.txt;80.10563281822236;4;2;20;6;0.941130833;8;0;0
biosppnw20.txt;83.8635491468607;3;3;9;3;0.24017739;9;0;0
biosppnw21.txt;92.95346244378536;0;0;10;4;0.13914933;9;0;0
biosppnw22.txt;88.24340940635926;1;1;19;4;0.166905892;8;0;0
biosppnw23.txt;91.43357601033692;3;3;6;3;0.27480914;10;0;0
biosppnw24.txt;72.5440658669555;0;0;21;3;0.325124809;9;0;0
biosppnw25.txt;81.7879272366857;1;1;17;5;0.33631806;9;0;0
biosppnw26.txt;53.93609656781114;21;17;19;4;0.40823091;8;0;1
biosppnw27.txt;94.74130410186496;2;1;12;4;0.369013371;9;0;0
biosppnw28.txt;75.86771847955004;5;3;6;2;0.353293071;9;0;0
biosppnw29.txt;36.69128310584334;26;17;12;2;1.257437555;8;0;0
biosppnw30.txt;79.86012308561997;0;0;8;4;0.645666408;8;0;0
biosppnw31.txt;68.14324679000303;0;0;16;4;0.707102589;9;0;0
biosppnw32.txt;97.05011089877407;1;1;8;4;0.084937017;8;0;0
biosppnw33.txt;75.6415789902572;0;0;10;5;0.756340712;9;0;0
biosppnw34.txt;69.09721499183762;2;2;14;4;0.283550565;9;0;0
biosppnw35.txt;86.78241161942617;0;0;14;5;0.388202292;9;0;0
biosppnw36.txt;0.0;16;11;10;1;0.835918644;10;0;0
biosppnw37.txt;79.48552581566017;1;1;10;3;0.1435949;8;0;0
biosppnw38.txt;49.64538989592528;2;2;8;4;0.336933433;10;0;0
biosppnw39.txt;61.0932636635715;0;0;12;4;0.187287655;9;0;0
biosppnw40.txt;93.68447979557624;21;17;10;2;0.231049022;9;0;1
biosppnw41.txt;83.74833372317015;1;1;11;3;0.068226167;8;0;0
biosppnw42.txt;93.58444785952905;20;18;10;2;0.463368932;8;0;1
biosppnw43.txt;70.31707676702104;6;2;21;4;0.410375874;10;0;0
