Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time
biosppnw01.txt;80.70138939993939;1;5;421;8;47.448771222
biosppnw03.txt;67.98275010717946;1;12;47;5;31.843742791
biosppnw04.txt;32.248638840246116;49;19;26;3;105.172829942
biosppnw05.txt;26.364383162254367;5;6;73;6;122.253616765
biosppnw06.txt;62.957319343116026;22;15;20;3;4.661388115
biosppnw07.txt;75.46190539415805;4;4;20;6;1.377964888
biosppnw08.txt;81.6566445592552;0;1;20;4;0.0565897
biosppnw09.txt;83.67715823812325;3;6;22;3;0.679015564
biosppnw10.txt;99.22427263684244;0;1;13;7;0.117985471
biosppnw11.txt;98.59654483288773;1;2;28;7;1.628500703
biosppnw12.txt;83.9863050440069;0;1;43;5;0.084726321
biosppnw13.txt;56.00548648268781;84;21;125;4;13.879058968
biosppnw14.txt;86.10075260948304;3;5;103;7;51.780439383
biosppnw15.txt;100.0;0;1;2;3;0.091314032
biosppnw16.txt;1.1281603950428456;0;1;7;2;71.52738558
biosppnw17.txt;56.712297450247796;20;13;58;3;127.164529116
biosppnw18.txt;0.0;44;21;23;1;16.412651435
biosppnw19.txt;88.20481389450539;1;5;20;4;0.643508862
biosppnw20.txt;0.0;8;7;9;1;0.186600834
biosppnw21.txt;92.95346244378536;0;2;10;4;0.099435351
biosppnw22.txt;82.52584154122185;5;8;19;3;0.178568659
biosppnw23.txt;92.36200797931052;23;21;6;3;0.252351187
biosppnw24.txt;76.0916684033097;7;7;21;3;0.352028505
biosppnw25.txt;82.79720784228812;3;5;17;4;0.219625793
biosppnw26.txt;65.78016238133706;26;14;19;4;0.300323675
biosppnw27.txt;91.15172302511033;14;18;12;2;0.503703561
biosppnw28.txt;75.86771847955004;4;6;6;2;0.267342066
biosppnw29.txt;55.811949218253645;34;21;12;3;1.071589102
biosppnw30.txt;81.14925944972045;5;7;8;2;0.688275879
biosppnw31.txt;76.48615778234215;1;5;16;4;0.628850067
biosppnw32.txt;98.78770337489568;3;4;8;5;0.054798122
biosppnw33.txt;92.79505974164252;8;15;10;4;0.949106307
biosppnw34.txt;74.97951541932991;1;4;14;3;0.155974587
biosppnw35.txt;83.59535758979871;14;12;14;4;0.487034044
biosppnw36.txt;87.33863593430785;21;18;10;3;0.637097106
biosppnw37.txt;88.09822097211102;0;1;10;3;0.092732681
biosppnw38.txt;91.28534843283381;5;3;8;2;0.286289751
biosppnw39.txt;64.89457333347089;9;12;12;5;0.242463848
biosppnw40.txt;95.99037951455355;15;17;10;4;0.139080548
biosppnw41.txt;83.74833372317015;1;4;11;3;0.036392797
biosppnw42.txt;93.76819145463249;10;11;10;2;0.302116834
biosppnw43.txt;73.1335311632503;7;9;21;3;0.295636025
