Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached
biosppnw01.txt;72.70282415128423;0;0;421;6;1159.786710713;4;1;0
biosppnw03.txt;76.74129995567341;0;0;47;6;931.434764296;6;2;0
biosppnw04.txt;33.45318096980382;0;0;26;4;1187.671576549;5;4;0
biosppnw06.txt;93.61639719804053;0;0;20;5;27.999112674;4;0;0
biosppnw07.txt;92.3459546502851;0;0;20;5;10.737713023;7;0;0
biosppnw08.txt;94.31689899287737;0;0;20;6;0.14703853;1;0;0
biosppnw09.txt;82.98036813883498;0;0;22;4;5.918797216;5;0;0
biosppnw10.txt;95.88608561438338;0;0;13;5;0.249325921;4;0;0
biosppnw11.txt;94.67732085850702;0;0;28;5;7.780119253;4;0;0
biosppnw12.txt;73.43906521073093;0;0;43;7;0.178556515;6;0;0
biosppnw13.txt;85.80555281931068;0;0;125;5;37.861864797;7;0;0
biosppnw14.txt;70.9856227027555;0;0;103;7;1385.354593016;8;1;0
biosppnw15.txt;100.0;0;0;2;3;0.291002501;8;0;0
biosppnw16.txt;1.1281603950428456;0;0;7;2;225.258639607;1;0;0
biosppnw17.txt;90.49597765826596;0;0;58;6;1185.148878799;3;0;0
biosppnw18.txt;99.33679418139356;0;0;23;7;23.652127825;2;0;0
biosppnw19.txt;89.01026220461007;0;0;20;6;7.044402698;5;0;0
biosppnw20.txt;95.83917584502953;0;0;9;6;1.154334031;4;0;0
biosppnw21.txt;97.11818652908333;0;0;10;7;0.682795871;1;0;0
biosppnw22.txt;71.36214447591887;0;0;19;4;1.114922063;5;0;0
biosppnw23.txt;91.43357601033692;0;0;6;2;0.56478974;8;0;0
biosppnw24.txt;96.09080765847871;0;0;21;6;2.329665691;5;0;0
biosppnw25.txt;84.37779781335276;0;0;17;5;1.404242249;5;0;0
biosppnw26.txt;70.25232323391731;0;0;19;4;0.823931358;7;0;0
biosppnw27.txt;91.34929402062743;0;0;12;4;1.179766197;4;0;0
biosppnw28.txt;76.29546429449623;0;0;6;3;1.268366304;7;0;0
biosppnw29.txt;51.828768880775634;0;0;12;3;5.119566569;5;0;0
biosppnw30.txt;95.92584095608561;0;0;8;4;3.238405;4;0;0
biosppnw31.txt;72.35978666734762;0;0;16;6;7.477677973;5;0;0
biosppnw32.txt;96.99405934029014;0;0;8;4;0.239262001;5;0;0
biosppnw33.txt;93.62512250142426;0;0;10;4;12.355987208;6;0;0
biosppnw34.txt;84.77664981817216;0;0;14;5;1.703396011;6;0;0
biosppnw35.txt;92.80612164762472;0;0;14;5;2.057838175;4;0;0
biosppnw36.txt;86.13599217705293;0;0;10;2;5.215480036;9;0;0
biosppnw37.txt;79.48552581566017;0;0;10;4;1.300105663;5;0;0
biosppnw38.txt;32.09365171052524;0;0;8;3;6.811531239;7;0;2
biosppnw39.txt;86.09759839338867;0;0;12;5;0.758034504;4;0;0
biosppnw40.txt;97.62337937563369;0;0;10;4;0.453511508;8;0;0
biosppnw41.txt;93.12927726145115;0;0;11;6;0.120398779;2;0;0
biosppnw42.txt;93.77763670123473;0;0;10;4;1.957810193;6;0;0
biosppnw43.txt;92.81998401040676;0;0;21;5;3.625602798;8;0;0
