Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached;Avg_Ratio_Non_Bin_Var;Supported_Sol
biosppnw01.txt;24.409015314280484;1;1;421;3;581.246118979;1;0;3;0.0013059163059163058;0.007125890736342043
biosppnw03.txt;69.3550761669782;6;2;47;6;519.311225594;4;0;1;0.0008365905506411574;0.06382978723404255
biosppnw04.txt;16.89395681421449;68;18;26;3;1099.385446284;4;0;5;0.0002667215350967437;0.0
biosppnw06.txt;95.74072544401997;1;1;20;6;25.350928593;2;0;0;0.0035593609552865527;0.3
biosppnw07.txt;89.21128432813717;14;10;20;8;11.137935424;6;0;0;0.003093580819798917;0.25
biosppnw08.txt;93.75584210455084;0;0;20;5;0.170303563;1;0;0;0.019873271889400922;0.25
biosppnw09.txt;82.98036813883498;29;14;22;4;6.098445003;4;0;1;0.005550184409352956;0.18181818181818182
biosppnw10.txt;95.88608561438338;0;0;13;5;0.413510784;3;0;0;0.007502930832356388;0.38461538461538464
biosppnw11.txt;93.5226024952752;0;0;28;5;12.37355682;4;0;0;0.0017120181405895693;0.17857142857142858
biosppnw12.txt;81.81807836223045;18;16;43;5;0.265481601;5;0;0;0.009384984025559104;0.09302325581395349
biosppnw13.txt;56.46678017340639;66;19;125;5;47.412876098;4;0;3;0.0014405729047628942;0.008
biosppnw14.txt;78.60201765909409;13;11;103;7;1262.765080352;6;1;0;0.0002909026083997115;0.02912621359223301
biosppnw15.txt;100.0;2;2;2;3;0.360046003;6;0;0;0.017130620985010704;1.0
biosppnw16.txt;52.749004103080374;0;0;7;3;234.597193511;0;0;0;8.970641333575542e-5;0.42857142857142855
biosppnw17.txt;84.84879098855774;1;1;58;4;1032.94034432;2;0;0;0.00033256422002448803;0.06896551724137931
biosppnw18.txt;99.23369452819706;1;1;23;7;26.359162853;2;0;0;0.004852654085711631;0.30434782608695654
biosppnw19.txt;88.15180797963859;5;3;20;6;7.740208848;5;0;0;0.005094361468102351;0.2
biosppnw20.txt;99.23471902522063;7;6;9;6;1.985435582;3;0;0;0.024655312246553124;0.6666666666666666
biosppnw21.txt;97.11818652908333;0;0;10;7;1.136379815;1;0;0;0.021182360870402463;0.7
biosppnw22.txt;71.90590910358381;9;9;19;4;1.415983131;4;0;0;0.02059773828756058;0.21052631578947367
biosppnw23.txt;92.32859349316179;15;5;6;4;0.776493648;8;0;0;0.014205344585091423;0.5
biosppnw24.txt;95.19726846205386;24;14;21;4;2.582964321;3;0;2;0.008459411094843014;0.19047619047619047
biosppnw25.txt;81.64377213352192;20;10;17;4;2.232998889;4;0;1;0.01068200493015612;0.17647058823529413
biosppnw26.txt;72.90808870561744;45;17;19;6;1.225490448;4;0;2;0.016140654272949993;0.21052631578947367
biosppnw27.txt;91.34929402062743;20;19;12;4;1.407929584;3;0;1;0.007872078720787207;0.3333333333333333
biosppnw28.txt;92.40311215502055;14;12;6;3;1.603556618;7;0;0;0.006611570247933884;0.5
biosppnw29.txt;88.55330315912802;6;6;12;5;5.228302135;4;0;0;0.006003937007874016;0.3333333333333333
biosppnw30.txt;95.92584095608561;4;4;8;4;4.163162247;4;0;0;0.00499434602336977;0.375
biosppnw31.txt;72.42882331601929;10;5;16;6;7.322581215;5;0;0;0.005843559562567827;0.375
biosppnw32.txt;96.99405934029014;5;5;8;3;0.42098665;4;0;0;0.023431594860166285;0.375
biosppnw33.txt;89.0224334915305;21;7;10;4;10.131025872;2;0;3;0.004382152687237433;0.4
biosppnw34.txt;83.57512304606519;5;5;14;7;2.079919903;4;0;0;0.014089729328883947;0.35714285714285715
biosppnw35.txt;93.39919181898479;7;7;14;6;2.190592484;3;0;0;0.006826604251999219;0.42857142857142855
biosppnw36.txt;86.13599217705293;51;14;10;2;7.354260063;6;0;2;0.007683679192372406;0.2
biosppnw37.txt;88.1017287779965;11;11;10;5;1.701009042;3;0;0;0.016396103896103898;0.4
biosppnw38.txt;0.02474856030247034;71;12;8;3;2.771040127;4;0;5;0.007950819672131147;0.125
biosppnw39.txt;86.09759839338867;2;1;12;5;1.098220085;4;0;0;0.015099294272115545;0.4166666666666667
biosppnw40.txt;96.21722000421511;1;1;10;4;0.834600626;6;0;0;0.026732673267326736;0.4
biosppnw41.txt;95.98150579068681;0;0;11;8;0.179243417;0;0;0;0.04505076142131979;0.6363636363636364
biosppnw42.txt;94.10119059139889;25;12;10;4;2.473766696;4;0;2;0.010606528678817834;0.3
biosppnw43.txt;80.27670547165839;38;10;21;5;3.167269776;5;0;2;0.012966417910447761;0.14285714285714285
