Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached
biosppnw01.txt;74.04446437917895;0;0;421;7;299.779100471;7;0;0
biosppnw03.txt;73.7448982646239;0;0;47;7;189.015915639;9;1;0
biosppnw04.txt;27.355653566438555;0;0;26;3;493.188289701;4;5;0
biosppnw06.txt;84.24047632408075;0;0;20;4;16.709965464;9;0;0
biosppnw07.txt;81.3277044772743;0;0;20;4;4.648361349;8;0;0
biosppnw08.txt;81.76163434147009;0;0;20;4;0.092750757;3;0;0
biosppnw09.txt;85.04990269374235;0;0;22;5;3.714916918;8;0;0
biosppnw10.txt;98.36156225435845;0;0;13;8;0.202968198;5;0;0
biosppnw11.txt;93.38260343883044;0;0;28;4;3.116825683;8;0;0
biosppnw12.txt;73.43906521073093;0;0;43;7;0.184793485;7;0;0
biosppnw13.txt;85.43723081020099;0;0;125;5;15.036782088;9;0;0
biosppnw14.txt;79.0636359557405;0;0;103;6;585.184152882;5;4;0
biosppnw15.txt;100.0;0;0;2;3;0.16360583;8;0;0
biosppnw16.txt;1.1281603950428456;0;0;7;2;47.872117982;3;0;0
biosppnw17.txt;63.114841781655414;0;0;58;5;909.665981339;8;1;0
biosppnw18.txt;63.837639999057316;0;0;23;2;18.776505006;10;0;0
biosppnw19.txt;84.66655106404697;0;0;20;4;2.375469305;8;0;0
biosppnw20.txt;83.52567189666753;0;0;9;2;0.563952997;9;0;0
biosppnw21.txt;93.88104597904345;0;0;10;5;0.204949313;8;0;0
biosppnw22.txt;73.98095308251025;0;0;19;5;0.739247808;8;0;0
biosppnw23.txt;91.43357601033692;0;0;6;2;0.334763598;9;0;0
biosppnw24.txt;82.95952377402524;0;0;21;4;1.853271533;9;0;0
biosppnw25.txt;57.28340636149362;0;0;17;2;1.277819004;9;0;0
biosppnw26.txt;66.33728267679922;0;0;19;5;0.882037452;9;0;0
biosppnw27.txt;96.71461810624851;0;0;12;4;0.615957448;8;0;0
biosppnw28.txt;77.47980097287326;0;0;6;2;0.997791572;8;0;0
biosppnw29.txt;78.32558209373491;0;0;12;4;2.290186244;8;0;0
biosppnw30.txt;83.52303388522739;0;0;8;3;1.837216823;7;0;0
biosppnw31.txt;87.08869966157035;0;0;16;4;3.497322923;8;0;0
biosppnw32.txt;96.99405934029014;0;0;8;4;0.152231431;6;0;0
biosppnw33.txt;67.91927716102438;0;0;10;4;11.403026597;8;0;1
biosppnw34.txt;71.38998906651662;0;0;14;5;0.713772691;9;0;0
biosppnw35.txt;86.21973434892156;0;0;14;4;1.168834767;8;0;0
biosppnw36.txt;86.13599217705293;0;0;10;2;5.468168058;10;0;0
biosppnw37.txt;79.48552581566017;0;0;10;3;1.467398269;6;0;1
biosppnw38.txt;47.608704288261755;0;0;8;4;14.116556841;7;0;3
biosppnw39.txt;65.04924454318154;0;0;12;6;0.318578108;9;0;0
biosppnw40.txt;76.08680099161116;0;0;10;5;0.278342867;10;0;0
biosppnw41.txt;83.74833372317015;0;0;11;3;0.079181139;6;0;0
biosppnw42.txt;94.37600081549124;0;0;10;4;1.246495708;9;0;0
biosppnw43.txt;93.69351608004199;0;0;21;5;2.632368402;10;0;0
