Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached
biosppnw01.txt;32.994633601260645;0;0;421;3;103.755608463;2;0;5
biosppnw03.txt;72.68814741435806;0;0;47;5;39.084268711;7;0;3
biosppnw04.txt;0.0;0;0;26;1;137.722403037;2;1;6
biosppnw06.txt;77.64962253989003;0;0;20;5;5.598373908;6;0;3
biosppnw07.txt;80.90688832985829;0;0;20;3;5.175030095;3;0;5
biosppnw08.txt;81.76163434147009;0;0;20;4;0.076711351;3;0;0
biosppnw09.txt;79.66047313346978;0;0;22;3;2.665448675;4;0;4
biosppnw10.txt;98.36156225435845;0;0;13;8;0.170032854;5;0;0
biosppnw11.txt;93.38260343883044;0;0;28;4;2.228488796;8;0;0
biosppnw12.txt;61.49022303004493;0;0;43;6;0.357641231;5;0;2
biosppnw13.txt;36.31903408658633;0;0;125;3;18.572726305;3;0;6
biosppnw14.txt;66.41453330759383;0;0;103;7;121.624705467;5;4;0
biosppnw15.txt;100.0;0;0;2;3;0.12629932;8;0;0
biosppnw16.txt;1.1281603950428456;0;0;7;2;43.617844411;3;0;0
biosppnw17.txt;60.33332097037252;0;0;58;5;128.139743481;5;4;0
biosppnw18.txt;12.765649133028848;0;0;23;2;17.965622326;3;0;7
biosppnw19.txt;85.49343438797372;0;0;20;4;1.994641033;5;0;3
biosppnw20.txt;85.46416722239422;0;0;9;2;0.710122053;4;0;5
biosppnw21.txt;93.88104597904345;0;0;10;5;0.127502801;8;0;0
biosppnw22.txt;73.98095308251025;0;0;19;2;0.645483542;3;0;5
biosppnw23.txt;0.0;0;0;6;1;0.675291415;4;0;5
biosppnw24.txt;0.0;0;0;21;1;1.835348639;2;0;7
biosppnw25.txt;57.99017297335231;0;0;17;3;1.146055526;5;0;4
biosppnw26.txt;23.02997492276828;0;0;19;2;1.006450774;2;0;7
biosppnw27.txt;94.74130410186496;0;0;12;2;0.940498452;5;0;3
biosppnw28.txt;0.0;0;0;6;1;1.517568475;2;0;6
biosppnw29.txt;73.22571245320611;0;0;12;3;1.870487326;4;0;4
biosppnw30.txt;87.91516990071109;0;0;8;4;1.423335026;5;0;2
biosppnw31.txt;86.89571512459244;0;0;16;4;2.138514946;5;0;3
biosppnw32.txt;96.99405934029014;0;0;8;3;0.216661809;3;0;3
biosppnw33.txt;0.0;0;0;10;1;4.75304291;1;0;8
biosppnw34.txt;59.92193945873454;0;0;14;4;0.767093533;5;0;4
biosppnw35.txt;81.26057223940076;0;0;14;2;1.399474702;4;0;4
biosppnw36.txt;86.13599217705293;0;0;10;2;2.522531489;3;0;7
biosppnw37.txt;79.47881971617322;0;0;10;2;0.614487185;3;0;4
biosppnw38.txt;0.0;0;0;8;1;2.095456541;1;0;9
biosppnw39.txt;65.04924454318154;0;0;12;5;0.410774791;7;0;2
biosppnw40.txt;68.92251046153063;0;0;10;2;0.453481914;5;0;5
biosppnw41.txt;83.74833372317015;0;0;11;3;0.079096868;5;0;1
biosppnw42.txt;94.1922572203878;0;0;10;2;1.243227749;3;0;6
biosppnw43.txt;82.26399433262084;0;0;21;4;0.967237421;5;0;5
