Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached
biosppnw01.txt;69.2111926566382;0;0;421;5;205.235185463;5;2;0
biosppnw03.txt;71.65537918497382;0;0;47;6;116.289850997;8;2;0
biosppnw04.txt;36.55763093791189;0;0;26;3;238.40292651;3;6;0
biosppnw06.txt;84.23878424756828;0;0;20;3;12.795038437;8;0;1
biosppnw07.txt;81.3277044772743;0;0;20;4;4.057193428;8;0;0
biosppnw08.txt;81.76163434147009;0;0;20;4;0.08153107;3;0;0
biosppnw09.txt;84.85208706274359;0;0;22;5;3.068372475;7;0;1
biosppnw10.txt;98.36156225435845;0;0;13;8;0.168734293;5;0;0
biosppnw11.txt;93.38260343883044;0;0;28;4;2.412298107;8;0;0
biosppnw12.txt;61.49022303004493;0;0;43;6;0.157363462;7;0;0
biosppnw13.txt;81.45712801402408;0;0;125;6;14.617795657;9;0;0
biosppnw14.txt;65.59246584662631;0;0;103;5;385.203052749;3;6;0
biosppnw15.txt;100.0;0;0;2;3;0.121393187;8;0;0
biosppnw16.txt;1.1281603950428456;0;0;7;2;44.453139297;3;0;0
biosppnw17.txt;59.47910158074771;0;0;58;3;288.120768796;3;6;0
biosppnw18.txt;60.197559300548455;0;0;23;3;18.743995756;9;0;1
biosppnw19.txt;84.66655106404697;0;0;20;4;1.562624756;8;0;0
biosppnw20.txt;66.76232176290434;0;0;9;2;0.885803439;7;0;2
biosppnw21.txt;93.88104597904345;0;0;10;5;0.12963312;8;0;0
biosppnw22.txt;73.98095308251025;0;0;19;5;0.327176131;8;0;0
biosppnw23.txt;92.36200797931052;0;0;6;2;0.477133573;8;0;1
biosppnw24.txt;84.32172155830955;0;0;21;5;1.065454613;9;0;0
biosppnw25.txt;87.60663826407429;0;0;17;2;0.673128909;9;0;0
biosppnw26.txt;65.86781213271064;0;0;19;6;0.99101722;8;0;1
biosppnw27.txt;96.71256004595683;0;0;12;4;0.911720905;7;0;1
biosppnw28.txt;77.78200099133474;0;0;6;2;0.656000468;8;0;0
biosppnw29.txt;73.22571245320611;0;0;12;3;1.132268418;8;0;0
biosppnw30.txt;81.14925944972045;0;0;8;2;1.256265727;7;0;0
biosppnw31.txt;87.08869966157035;0;0;16;4;1.325224144;8;0;0
biosppnw32.txt;96.99405934029014;0;0;8;4;0.083454042;6;0;0
biosppnw33.txt;67.91927716102438;0;0;10;4;9.95729855;7;0;2
biosppnw34.txt;63.042133430019746;0;0;14;4;0.790260627;8;0;1
biosppnw35.txt;81.26057223940076;0;0;14;2;1.427300775;7;0;1
biosppnw36.txt;86.13599217705293;0;0;10;2;1.37155563;10;0;0
biosppnw37.txt;88.1017287779965;0;0;10;4;0.680909799;6;0;1
biosppnw38.txt;32.09187514388339;0;0;8;2;6.081006371;3;0;7
biosppnw39.txt;65.04924454318154;0;0;12;5;0.18908194;9;0;0
biosppnw40.txt;76.25756649311462;0;0;10;5;0.153871236;10;0;0
biosppnw41.txt;83.74833372317015;0;0;11;3;0.046980036;6;0;0
biosppnw42.txt;94.37600081549124;0;0;10;4;1.175310298;8;0;1
biosppnw43.txt;83.84372929315809;0;0;21;5;1.970117376;8;0;2
